lambda,extinction_coefficient
250,112736.0
252,112736.0
254,112736.0
256,113824.0
258,115040.0
260,116296.0
262,117564.0
264,118876.0
266,120208.0
268,121544.0
270,122880.0
272,123096.0
274,121952.0
276,120808.0
278,119840.0
280,118872.0
282,117628.0
284,114820.0
286,112008.0
288,107140.0
290,98364.0
292,91636.0
294,85820.0
296,77100.0
298,69444.0
300,64440.0
302,61300.0
304,58828.0
306,56908.0
308,57620.0
310,59156.0
312,62248.0
314,65344.0
316,68312.0
318,71208.0
320,74508.0
322,78284.0
324,82060.0
326,85592.0
328,88516.0
330,90856.0
332,93192.0
334,95532.0
336,99792.0
338,104476.0
340,108472.0
342,110996.0
344,113524.0
346,116052.0
348,118752.0
350,122092.0
352,125436.0
354,128776.0
356,132120.0
358,133632.0
360,134940.0
362,136044.0
364,136972.0
366,137900.0
368,138856.0
370,139968.0
372,141084.0
374,142196.0
376,143312.0
378,144424.0
380,145232.0
382,145232.0
384,148668.0
386,153908.0
388,159544.0
390,167780.0
392,180004.0
394,191540.0
396,202124.0
398,212712.0
400,223296.0
402,236188.0
404,253368.0
406,270548.0
408,287356.0
410,303956.0
412,321344.0
414,342596.0
416,363848.0
418,385680.0
420,407560.0
422,429880.0
424,461200.0
426,481840.0
428,500840.0
430,528600.0
432,552160.0
434,552160.0
436,547040.0
438,501560.0
440,413280.0
442,363240.0
444,282724.0
446,237224.0
448,173320.0
450,103292.0
452,62640.0
454,36170.0
456,30698.8
458,25886.4
460,23388.8
462,20891.2
464,19260.8
466,18142.4
468,17025.6
470,16156.4
472,15310.0
474,15048.4
476,14792.8
478,14657.2
480,14550.0
482,14881.2
484,15212.4
486,15543.6
488,15898.0
490,16684.0
492,17469.6
494,18255.6
496,19041.2
498,19891.2
500,20862.0
502,21832.8
504,22803.6
506,23774.4
508,24745.2
510,25773.6
512,26936.8
514,28100.0
516,29263.2
518,30426.4
520,31589.6
522,32851.2
524,34397.6
526,35944.0
528,37490.0
530,39036.4
532,40584.0
534,42088.0
536,43592.0
538,45092.0
540,46592.0
542,48148.0
544,49708.0
546,51268.0
548,52496.0
550,53412.0
552,54080.0
554,54520.0
556,54540.0
558,54164.0
560,53788.0
562,52276.0
564,50572.0
566,48828.0
568,46948.0
570,45072.0
572,43340.0
574,41716.0
576,40092.0
578,38467.6
580,37020.0
582,35676.4
584,34332.8
586,32851.6
588,31075.2
590,28324.4
592,25470.0
594,22574.8
596,19800.0
598,17058.4
600,14677.2
602,13622.4
604,12567.6
606,11513.2
608,10477.6
610,9443.6
612,8591.2
614,7762.0
616,7344.8
618,6927.2
620,6509.6
622,6193.2
624,5906.8
626,5620.0
628,5366.8
630,5148.8
632,4930.8
634,4730.8
636,4602.4
638,4473.6
640,4345.2
642,4216.8
644,4088.4
646,3965.08
648,3857.6
650,3750.12
652,3642.64
654,3535.16
656,3427.68
658,3320.2
660,3226.56
662,3140.28
664,3053.96
666,2967.68
668,2881.4
670,2795.12
672,2708.84
674,2627.64
676,2554.4
678,2481.16
680,2407.92
682,2334.68
684,2261.48
686,2188.24
688,2115.0
690,2051.96
692,2000.48
694,1949.04
696,1897.56
698,1846.08
700,1794.28
702,1741.0
704,1687.76
706,1634.48
708,1583.52
710,1540.48
712,1497.4
714,1454.36
716,1411.32
718,1368.28
720,1325.88
722,1285.16
724,1244.44
726,1203.68
728,1152.8
730,1102.2
732,1102.2
734,1102.2
736,1101.76
738,1100.48
740,1115.88
742,1161.64
744,1207.4
746,1266.04
748,1333.24
750,1405.24
752,1515.32
754,1541.76
756,1560.48
758,1560.48
760,1548.52
762,1508.44
764,1459.56
766,1410.52
768,1361.32
770,1311.88
772,1262.44
774,1213.0
776,1163.56
778,1114.8
780,1075.44
782,1036.08
784,996.72
786,957.36
788,921.8
790,890.8
792,859.8
794,828.8
796,802.96
798,782.36
800,761.72
802,743.84
804,737.08
806,730.28
808,723.52
810,717.08
812,711.84
814,706.6
816,701.32
818,696.08
820,693.76
822,693.6
824,693.48
826,693.32
828,693.2
830,693.04
832,692.92
834,692.76
836,692.64
838,692.48
840,692.36
842,692.2
844,691.96
846,691.76
848,691.52
850,691.32
852,691.08
854,690.88
856,690.64
858,692.44
860,694.32
862,696.2
864,698.04
866,699.92
868,701.8
870,705.84
872,709.96
874,714.08
876,718.2
878,722.32
880,726.44
882,729.84
884,733.2
886,736.6
888,739.96
890,743.6
892,747.24
894,750.88
896,754.52
898,758.16
900,761.84
902,765.04
904,767.44
906,769.8
908,772.16
910,774.56
912,776.92
914,778.4
916,778.04
918,777.72
920,777.36
922,777.04
924,776.64
926,772.36
928,768.08
930,763.84
932,752.28
934,737.56
936,722.88
938,708.16
940,693.44
942,678.72
944,660.52
946,641.08
948,621.64
950,602.24
952,583.4
954,568.92
956,554.48
958,540.04
960,525.56
962,511.12
964,495.36
966,473.32
968,451.32
970,429.32
972,415.28
974,402.28
976,389.288
978,374.944
980,359.656
982,344.372
984,329.084
986,313.796
988,298.508
990,283.22
992,267.932
994,252.648
996,237.36
998,222.072
1000,206.784
