lambda,extinction_coefficient
250,106112.0
252,105552.0
254,107660.0
256,109788.0
258,112944.0
260,116376.0
262,120188.0
264,124412.0
266,128696.0
268,133064.0
270,136068.0
272,137232.0
274,138408.0
276,137424.0
278,135820.0
280,131936.0
282,127720.0
284,122280.0
286,116508.0
288,108484.0
290,104752.0
292,98936.0
294,88136.0
296,79316.0
298,70884.0
300,65972.0
302,63208.0
304,61952.0
306,62352.0
308,62856.0
310,63352.0
312,65972.0
314,69016.0
316,72404.0
318,75536.0
320,78752.0
322,82256.0
324,85972.0
326,89796.0
328,93768.0
330,97512.0
332,100964.0
334,103504.0
336,104968.0
338,106452.0
340,107884.0
342,109060.0
344,110092.0
346,109032.0
348,107984.0
350,106576.0
352,105040.0
354,103696.0
356,101568.0
358,97828.0
360,94744.0
362,92248.0
364,89836.0
366,88484.0
368,87512.0
370,88176.0
372,91592.0
374,95140.0
376,98936.0
378,103432.0
380,109564.0
382,116968.0
384,125420.0
386,135132.0
388,148100.0
390,167748.0
392,189740.0
394,212060.0
396,231612.0
398,248404.0
400,266232.0
402,284224.0
404,308716.0
406,354208.0
408,422320.0
410,466840.0
412,500200.0
414,524280.0
416,521880.0
418,515520.0
420,480360.0
422,431880.0
424,376236.0
426,326032.0
428,283112.0
430,246072.0
432,214120.0
434,165332.0
436,132820.0
438,119140.0
440,102580.0
442,92780.0
444,81444.0
446,76324.0
448,67044.0
450,62816.0
452,58864.0
454,53552.0
456,49496.0
458,47496.0
460,44480.0
462,41320.0
464,39807.2
466,37073.2
468,34870.8
470,33209.2
472,31620.0
474,30113.6
476,28850.8
478,27718.0
480,26629.2
482,25701.6
484,25180.4
486,24669.6
488,24174.8
490,23684.4
492,23086.8
494,22457.6
496,21850.4
498,21260.0
500,20932.8
502,20596.4
504,20418.0
506,19946.0
508,19996.0
510,20035.2
512,20150.4
514,20429.2
516,21001.6
518,22509.6
520,24202.4
522,26450.4
524,29269.2
526,32496.4
528,35990.0
530,39956.8
532,43876.0
534,46924.0
536,49752.0
538,51712.0
540,53236.0
542,53292.0
544,52096.0
546,49868.0
548,46660.0
550,43016.0
552,39675.2
554,36815.2
556,34476.8
558,33456.0
560,32613.2
562,32620.0
564,33915.6
566,36495.2
568,40172.0
570,44496.0
572,49172.0
574,53308.0
576,55540.0
578,54728.0
580,50104.0
582,43304.0
584,34639.6
586,26600.4
588,19763.2
590,14400.8
592,10468.4
594,7678.8
596,5683.6
598,4504.4
600,3200.0
602,2664.0
604,2128.0
606,1789.2
608,1647.6
610,1506.0
612,1364.4
614,1222.8
616,1110.0
618,1026.0
620,942.0
622,858.0
624,774.0
626,707.6
628,658.8
630,610.0
632,561.2
634,512.4
636,478.8
638,460.4
640,442.0
642,423.6
644,405.2
646,390.4
648,379.2
650,368.0
652,356.8
654,345.6
656,335.2
658,325.6
660,319.6
662,314.0
664,308.4
666,302.8
668,298.0
670,294.0
672,290.0
674,285.6
676,282.0
678,279.2
680,277.6
682,276.0
684,274.4
686,272.8
688,274.4
690,276.0
692,277.6
694,279.2
696,282.0
698,286.0
700,290.0
702,294.0
704,298.0
706,302.8
708,308.4
710,314.0
712,319.6
714,325.2
716,332.0
718,340.0
720,348.0
722,356.0
724,364.0
726,372.4
728,381.2
730,390.0
732,398.8
734,407.6
736,418.8
738,432.4
740,446.0
742,459.6
744,473.2
746,487.6
748,502.8
750,518.0
752,533.2
754,548.4
756,562.0
758,574.0
760,586.0
762,598.0
764,610.0
766,622.8
768,636.4
770,650.0
772,663.6
774,677.2
776,689.2
778,699.6
780,710.0
782,720.4
784,730.8
786,740.0
788,748.0
790,756.0
792,764.0
794,772.0
796,786.4
798,807.2
800,816.0
802,828.0
804,836.0
806,844.0
808,856.0
810,864.0
812,872.0
814,880.0
816,887.2
818,901.6
820,916.0
822,930.4
824,944.8
826,956.4
828,965.2
830,974.0
832,982.8
834,991.6
836,1001.2
838,1011.6
840,1022.0
842,1032.4
844,1042.8
846,1050.0
848,1054.0
850,1058.0
852,1062.0
854,1066.0
856,1072.8
858,1082.4
860,1092.0
862,1101.6
864,1111.2
866,1118.4
868,1123.2
870,1128.0
872,1132.8
874,1137.6
876,1142.8
878,1148.4
880,1154.0
882,1159.6
884,1165.2
886,1170.0
888,1174.0
890,1178.0
892,1182.0
894,1186.0
896,1190.0
898,1194.0
900,1198.0
902,1202.0
904,1206.0
906,1209.2
908,1211.6
910,1214.0
912,1216.4
914,1218.8
916,1220.8
918,1222.4
920,1224.0
922,1225.6
924,1227.2
926,1226.8
928,1224.4
930,1222.0
932,1219.6
934,1217.2
936,1215.6
938,1214.8
940,1214.0
942,1213.2
944,1212.4
946,1210.4
948,1207.2
950,1204.0
952,1200.8
954,1197.6
956,1194.0
958,1190.0
960,1186.0
962,1182.0
964,1178.0
966,1173.2
968,1167.6
970,1162.0
972,1156.4
974,1150.8
976,1144.0
978,1136.0
980,1128.0
982,1120.0
984,1112.0
986,1102.4
988,1091.2
990,1080.0
992,1068.8
994,1057.6
996,1046.4
998,1035.2
1000,1024.0
