lambda,extinction_coefficient
320,59184.56277
322,61793.04965
324,65081.95904
326,67805.85177
328,69946.01786
330,73739.34675
332,77611.22895
334,81533.92541
336,84517.37168
338,88280.00575
340,91647.52512
342,95077.07039
344,97641.37069
346,99968.37829
348,103069.1216
350,105695.9345
352,107646.4544
354,111411.4664
356,113569.3745
358,115863.1492
360,117687.5352
362,119983.4215
364,122355.3266
366,125417.3207
368,129281.3203
370,133423.883
372,139178.5361
374,146039.2705
376,153941.6076
378,163614.3042
380,175302.2514
382,188057.3703
384,204704.7396
386,217807.709
388,235207.0756
390,260268.0892
392,282522.3044
394,312452.1469
396,344916.8067
398,368389.9105
400,410610.6059
402,457146.0938
404,480364.3402
406,496570.4389
408,483091.3342
410,446031.5824
412,401835.2724
414,358885.5491
416,314506.0292
418,278167.4809
420,246369.9585
422,215120.7734
424,182408.7761
426,172382.3539
428,141274.4615
430,117562.3066
432,96806.17724
434,84938.4378
436,74465.02034
438,66309.041
440,59781.76458
442,54111.80156
444,50108.9182
446,45066.8072
448,42457.09632
450,40881.84572
452,38532.12585
454,36391.85079
456,34746.78511
458,33523.57287
460,32578.0335
462,31206.19383
464,30721.14353
466,29711.92724
468,29054.1663
470,28434.19881
472,27910.87866
474,27481.08774
476,27231.9464
478,27075.96128
480,27090.51665
482,27095.43982
484,27198.81127
486,27312.08023
488,27459.28105
490,27625.11093
492,27799.51386
494,27931.67909
496,28018.32596
498,28058.39465
500,27973.17692
502,27832.59467
504,27570.32685
506,27293.02771
508,26967.29536
510,26601.65554
512,26248.40107
514,25968.08228
516,25801.14373
518,25719.5232
520,25809.18809
522,26132.11433
524,26860.43067
526,27392.7985
528,28085.01915
530,28889.60827
532,29944.60785
534,30702.14273
536,31210.00241
538,31517.05204
540,31475.87181
542,30990.768
544,30157.43756
546,29452.30528
548,27099.24971
550,25633.35367
552,23690.18956
554,22254.51626
556,21228.09857
558,20436.37199
560,19873.93821
562,19888.9687
564,20264.50708
566,20983.87822
568,22161.46611
570,23496.2526
572,24766.30892
574,25848.46172
576,26335.94764
578,25872.22769
580,24369.06908
582,22100.4378
584,18879.64871
586,16097.91229
588,13992.25259
590,12700.60173
592,10838.63031
594,9639.025455
596,8956.599891
598,8528.607548
600,8141.160766
602,7920.54811
604,7820.774684
606,7773.349184
608,7792.721891
610,7838.930725
612,7943.889598
614,8143.806508
616,8364.313326
618,8600.43287
620,8873.287742
622,9117.242107
624,9344.365119
626,9479.653467
628,9621.664176
630,9648.976125
632,9608.167998
634,9367.336806
636,9019.850761
638,8580.901844
640,8149.999127
642,7155.233993
644,6530.447385
646,5701.829069
648,4918.624452
650,4484.492866
652,3707.215547
654,3227.458669
656,2815.821756
658,2368.563161
660,2031.559012
662,1790.832725
664,1530.258386
666,1348.867566
668,1240.307957
670,1086.123353
672,971.0534604
674,906.531605
676,852.2256523
678,796.3848412
680,742.4485342
682,715.1370745
684,698.0404026
686,684.9141759
688,639.2886423
690,622.191972
692,613.0352608
694,593.2925297
696,593.2919066
698,594.7209649
700,481.8676009
702,557.9248389
704,554.0437977
706,555.0914462
708,556.3948238
710,555.4105387
712,491.614651
714,495.462294
716,566.8859436
718,568.9634619
720,511.9192197
722,580.1750186
724,584.6143676
726,533.3365077
728,541.5315473
730,550.1960374
732,612.737605
734,569.4924267
736,580.4737084
738,641.520234
740,655.0736169
742,666.5018689
744,631.9240335
746,646.145137
748,704.0970065
750,716.1931646
752,730.9101613
754,707.5953132
756,722.867611
758,773.9078042
760,789.1301959
762,801.8038887
764,783.4940768
766,799.3381565
768,847.3821341
770,832.1438208
772,848.8676387
774,865.774955
776,915.6544712
778,932.4774981
780,915.2367413
782,970.9497734
784,987.8408842
786,965.3406328
788,981.7447487
790,1041.500403
792,1057.735289
794,1078.660228
796,1050.368974
798,1119.321938
800,1140.560839
802,1106.703494
804,1123.897774
806,1141.145699
808,1159.61551
810,1176.897115
812,1194.218482
814,1211.522849
816,1228.56924
818,1247.784424
820,1266.984996
822,1286.161347
824,1305.257085
826,1323.547365
828,1340.899101
830,1358.179023
832,1375.391816
834,1392.528692
836,1409.873126
838,1427.309044
840,1444.646762
842,1461.899182
844,1479.025564
846,1495.093352
848,1510.071483
850,1524.942618
852,1539.634068
854,1554.21911
856,1569.505262
858,1585.490589
860,1601.288892
862,1616.961737
864,1632.419723
866,1647.06273
868,1660.765597
870,1674.331682
872,1687.728332
874,1700.919206
876,1714.060114
878,1727.095949
880,1739.962355
882,1752.635945
884,1765.103469
886,1777.144168
888,1788.721702
890,1800.078487
892,1811.246497
894,1822.253873
896,1832.984535
898,1843.544597
900,1853.872204
902,1863.981765
904,1873.906724
906,1883.369103
908,1892.359813
910,1901.145036
912,1909.741781
914,1918.144551
916,1926.137231
918,1933.858898
920,1941.338737
922,1948.621883
924,1955.734436
926,1962.006416
928,1967.494066
930,1972.775644
932,1977.816601
934,1982.68283
936,1987.564324
938,1992.514439
940,1997.330302
942,2001.958562
944,2006.382809
946,2010.287259
948,2013.672687
950,2016.941739
952,2020.089975
954,2023.090396
956,2025.882532
958,2028.394571
960,2030.834211
962,2033.184444
964,2035.382655
966,2037.24252
968,2038.73829
970,2040.234059
972,2041.734134
974,2043.116282
976,2044.194035
978,2044.795736
980,2045.46271
982,2046.075777
984,2046.634879
986,2046.78824
988,2046.481338
990,2046.264133
992,2046.082103
994,2045.918863
996,2045.880466
998,2045.93118
1000,2046.089766
