lambda,extinction_coefficient
250.0,5775.363311292763
252.0,5712.150458564121
254.0,5649.6294869405665
256.0,5587.792823603552
258.0,5526.632978620996
260.0,5466.1425440400735
262.0,5406.314192989925
264.0,5347.140678794203
266.0,5288.614834093312
268.0,5230.729569976273
270.0,5173.477875122076
272.0,5116.8528149504455
274.0,5060.847530781891
276.0,5005.455239006948
278.0,4950.669230264527
280.0,4896.482868629232
282.0,4842.889590807601
284.0,4789.88290534312
286.0,4737.456391829962
288.0,4685.603700135303
290.0,4634.318549630178
292.0,4583.594728428737
294.0,4533.426092635833
296.0,4483.806565602854
298.0,4434.730137191682
300.0,4386.190863046726
302.0,4338.182863874909
304.0,4290.700324733549
306.0,4243.737494326018
308.0,4197.28868430513
310.0,4151.348268584135
312.0,4105.910682655265
314.0,4060.970422915737
316.0,4016.5220460011287
318.0,3972.560168126059
320.0,3929.079464432076
322.0,3886.07466834269
324.0,3843.5405709254546
326.0,3801.4720202610506
328.0,3759.8639208192467
330.0,3718.7112328417215
332.0,3678.008971731615
334.0,3637.752207449776
336.0,3597.9360639176157
338.0,3558.555718426488
340.0,3519.606401053551
342.0,3481.0833940840066
344.0,3442.9820314396725
346.0,3405.297698113803
348.0,3368.0258296121033
350.0,3331.161911399852
352.0,3294.7014783550876
354.0,3258.6401142277678
356.0,3222.9734511048523
358.0,3187.697168881249
360.0,3152.8069947365348
362.0,3118.2987026174196
364.0,3084.168112725865
366.0,3050.411091012806
368.0,3017.0235486774227
370.0,2984.0014416718823
372.0,2951.3407702115037
374.0,2919.037578290292
376.0,2887.0879532017643
378.0,2855.488025065032
380.0,2824.2339663560524
382.0,2793.321991444031
384.0,2762.748356132887
386.0,2732.5093572077385
388.0,2702.601331986354
390.0,2673.020657875508
392.0,2643.763751932204
394.0,2614.8270704296856
396.0,2586.207108428207
398.0,2557.9003993504975
400.0,2529.9035145618795
402.0,2502.213062954971
404.0,2474.8256905389408
406.0,2447.7380800332594
408.0,2420.9469504658987
410.0,2394.449056775918
412.0,2368.2411894204124
414.0,2342.3201739857614
416.0,2316.6828708031253
418.0,2291.3261745681557
420.0,2266.2470139648653
422.0,2241.4423512936237
424.0,2216.909182103209
426.0,2192.644534826899
428.0,2168.6454704225416
430.0,2144.9090820165684
432.0,2121.4324945518943
434.0,2098.2128644396817
436.0,2075.2473792149117
438.0,2052.5332571957297
440.0,2030.067747146509
442.0,2007.848127944611
444.0,1985.8717082507944
446.0,1964.1358261832243
448.0,1942.6378489950544
450.0,1921.3751727555357
452.0,1900.3452220346219
454.0,1879.5454495910144
456.0,1858.9733360636342
458.0,1838.6263896664616
460.0,1818.5021458867295
462.0,1798.598167186397
464.0,1778.9120427069117
466.0,1759.4413879771985
468.0,1740.1838446248337
470.0,1721.1370800903953
472.0,1702.2987873449288
474.0,1683.6666846105136
476.0,1665.2385150838802
478.0,1647.0120466630567
480.0,1628.985071677009
482.0,1611.1554066182366
484.0,1593.520891878295
486.0,1576.0793914862147
488.0,1558.828792849787
490.0,1541.7670064996707
492.0,1524.891965836311
494.0,1508.2016268796224
496.0,1491.6939680214134
498.0,1475.3669897805187
500.0,1459.2187145606138
502.0,1443.2471864106813
504.0,1427.4504707880965
506.0,1411.8266543243044
508.0,1396.3738445930674
510.0,1381.090169881246
512.0,1365.973778962086
514.0,1351.0228408709918
516.0,1336.235544683751
518.0,1321.6100992971885
520.0,1307.1447332122182
522.0,1292.8376943192711
524.0,1278.6872496860747
526.0,1264.6916853477505
