lambda,extinction_coefficient
250.0,6.63e-05
252.0,6.63e-05
254.0,6.63e-05
256.0,6.63e-05
258.0,6.63e-05
260.0,6.63e-05
262.0,6.63e-05
264.0,6.63e-05
266.0,6.63e-05
268.0,6.63e-05
270.0,6.63e-05
272.0,6.63e-05
274.0,6.63e-05
276.0,6.63e-05
278.0,6.63e-05
280.0,6.63e-05
282.0,6.63e-05
284.0,6.63e-05
286.0,6.63e-05
288.0,6.63e-05
290.0,6.63e-05
292.0,6.63e-05
294.0,6.63e-05
296.0,6.63e-05
298.0,6.63e-05
300.0,6.63e-05
302.0,6.63e-05
304.0,6.63e-05
306.0,6.63e-05
308.0,6.63e-05
310.0,6.63e-05
312.0,6.63e-05
314.0,6.63e-05
316.0,6.63e-05
318.0,6.63e-05
320.0,6.63e-05
322.0,6.63e-05
324.0,6.63e-05
326.0,6.63e-05
328.0,6.63e-05
330.0,6.63e-05
332.0,6.63e-05
334.0,6.63e-05
336.0,6.63e-05
338.0,6.63e-05
340.0,6.63e-05
342.0,6.63e-05
344.0,6.63e-05
346.0,6.63e-05
348.0,6.63e-05
350.0,6.63e-05
352.0,6.63e-05
354.0,6.63e-05
356.0,6.63e-05
358.0,6.63e-05
360.0,6.63e-05
362.0,6.63e-05
364.0,6.63e-05
366.0,6.63e-05
368.0,6.63e-05
370.0,6.63e-05
372.0,6.63e-05
374.0,6.63e-05
376.0,6.63e-05
378.0,6.63e-05
380.0,6.63e-05
382.0,6.63e-05
384.0,6.63e-05
386.0,6.63e-05
388.0,6.63e-05
390.0,6.63e-05
392.0,6.63e-05
394.0,6.63e-05
396.0,6.63e-05
398.0,6.63e-05
400.0,6.63e-05
402.0,5.958e-05
404.0,5.496e-05
406.0,5.192e-05
408.0,4.97e-05
410.0,4.73e-05
412.0,4.562e-05
414.0,4.472e-05
416.0,4.432e-05
418.0,4.444e-05
420.0,4.54e-05
422.0,4.7e-05
424.0,4.7640000000000005e-05
426.0,4.796e-05
428.0,4.846e-05
430.0,4.95e-05
432.0,5.022e-05
434.0,5.196e-05
436.0,5.5e-05
438.0,5.91e-05
440.0,6.35e-05
442.0,6.837999999999999e-05
444.0,7.29e-05
446.0,7.826e-05
448.0,8.484e-05
450.0,9.22e-05
452.0,9.596e-05
454.0,9.648e-05
456.0,9.6e-05
458.0,9.614e-05
460.0,9.79e-05
462.0,9.998e-05
464.0,0.00010086
466.0,0.00010146
468.0,0.0001028
470.0,0.000106
472.0,0.0001084
474.0,0.000112
476.0,0.0001168
478.0,0.0001222
480.0,0.000127
482.0,0.0001302
484.0,0.000134
486.0,0.0001392
488.0,0.0001452
490.0,0.00015
492.0,0.0001596
494.0,0.0001686
496.0,0.0001802
498.0,0.0001936
500.0,0.000204
502.0,0.0002232
504.0,0.0002448
