scan,band_subset,effective_mu_s_500,power_b,calibration_k,hb_cov,hb_present,bili_mono,bili_range,bili_log2_slope,bili_positive_a1,bili_positive_count,mean_rmse,composite,A1_hb_uM,A1_bili_uM,A2_hb_uM,A2_bili_uM,A3_hb_uM,A3_bili_uM,A4_hb_uM,A4_bili_uM,A5_hb_uM,A5_bili_uM,A6_hb_uM,A6_bili_uM
scattering,2band_blue,0.5,0.1,1.0,0.08110327513697495,True,0,0.0,0.0,False,0,0.04133915338193615,0.9188967248630251,3.927679008086824,0.0,3.4400021280116793,0.0,3.2536523445987453,0.0,3.1642819102574666,0.0,3.190940703345249,0.0,3.165184085987152,0.0
scattering,2band_blue,0.5,0.30714285714285716,1.0,0.08139646577274277,True,0,0.0,0.0,False,0,0.038527841385943916,0.9186035342272573,3.972588054109468,0.0,3.4778450829799517,0.0,3.288560984005645,0.0,3.198209720105292,0.0,3.2251685236978407,0.0,3.1989423011728215,0.0
scattering,2band_blue,0.5,0.5142857142857142,1.0,0.08162817602436336,True,0,0.0,0.0,False,0,0.03569077482448074,0.9183718239756367,4.018219725384113,0.0,3.5178948045546963,0.0,3.325919026541764,0.0,3.233467647488229,0.0,3.2590133646005284,0.0,3.2342001568903744,0.0
scattering,2band_blue,0.5,0.7214285714285714,1.0,0.08179519094808066,True,0,0.0,0.0,False,0,0.03282637111344001,0.9182048090519194,4.064929467525291,0.0,3.558615263956289,0.0,3.3642642947123163,0.0,3.2691536391284317,0.0,3.2958401196032523,0.0,3.270354510017879,0.0
scattering,2band_blue,0.5,0.9285714285714285,1.0,0.08191561918540606,True,0,0.0,0.0,False,0,0.02993305744282398,0.918084380814594,4.113254890142654,0.0,3.6003317488962288,0.0,3.4033752877494994,0.0,3.3069679205864055,0.0,3.3346524952405194,0.0,3.3077366879708245,0.0
scattering,2band_blue,0.5,1.1357142857142857,1.0,0.08208939984254282,True,0,0.0,0.0,False,0,0.027009471490032216,0.9179106001574572,4.163803782570234,0.0,3.64410523599384,0.0,3.4440980376203525,0.0,3.346433429742367,0.0,3.373540159697965,0.0,3.347215576038613,0.0
scattering,2band_blue,0.5,1.342857142857143,1.0,0.08235045563326797,True,0,0.0,0.0,False,0,0.02405630483977518,0.9176495443667321,4.216859363627376,0.0,3.689428714469173,0.0,3.48663699685187,0.0,3.3875758503534845,0.0,3.413788462600268,0.0,3.3871055099257856,0.0
scattering,2band_blue,0.5,1.55,1.0,0.08250293077542087,True,0,0.0,0.0,False,0,0.021076074947444692,0.9174970692245792,4.271383420841981,0.0,3.7357988329596705,0.0,3.5306553320190535,0.0,3.429829791116511,0.0,3.4567269538499783,0.0,3.4295195520416843,0.0
scattering,2band_blue,0.5,1.7571428571428571,1.0,0.08240137016385435,True,0,0.0,0.0,False,0,0.018078087588053588,0.9175986298361456,4.324664548077601,0.0,3.7838068162963276,0.0,3.576442533644247,0.0,3.473802058056687,0.0,3.5004754302079313,0.0,3.4728052997112764,0.0
scattering,2band_blue,0.5,1.9642857142857142,1.0,0.08159919194417403,True,0,0.0,0.0,False,0,0.015086099463034424,0.9184008080558259,4.371702201131074,0.0,3.8313620830537096,0.0,3.621813122896298,0.0,3.517801128782302,0.0,3.546318466165729,0.0,3.5183727329642696,0.0
